Timestamp,MQ4,MQ3,MQ7,MQ135,MQ136,Temp,Hum,PM,Label,Time
15:05:26.488,327,244,460,241,433,21.5,35.8,712,0,2024-12-01 12:09:21
15:02:25.664,318,241,444,229,431,21.6,35.5,649,0,2024-12-01 12:09:22
15:22:10.790,325,235,464,227,432,21.4,36.0,707,0,2024-12-01 12:09:23
15:01:08.506,319,258,495,225,418,21.5,35.6,695,0,2024-12-01 12:09:24
15:10:48.987,310,235,458,234,418,21.4,35.6,780,0,2024-12-01 12:09:25
15:11:46.604,316,242,444,224,434,21.4,35.6,762,0,2024-12-01 12:09:26
15:49:19.478,322,246,463,251,432,21.4,36.7,465,0,2024-12-01 12:09:27
15:06:45.245,328,257,465,245,429,21.5,35.7,671,0,2024-12-01 12:09:28
15:14:46.892,319,243,459,253,407,21.4,35.7,703,0,2024-12-01 12:09:29
15:29:26.545,328,237,457,246,419,21.4,36.1,619,0,2024-12-01 12:09:30
15:18:15.705,325,222,452,243,410,21.4,35.9,707,0,2024-12-01 12:09:31
15:48:55.184,325,251,483,261,436,21.4,36.4,472,0,2024-12-01 12:09:32
15:47:23.259,328,247,493,256,430,21.3,36.4,485,0,2024-12-01 12:09:33
15:03:41.809,317,241,454,228,429,21.5,35.4,710,0,2024-12-01 12:09:34
15:25:46.253,321,261,461,220,427,21.4,36.0,558,0,2024-12-01 12:09:35
14:55:32.527,314,251,453,225,439,21.5,35.5,627,0,2024-12-01 12:09:36
15:50:40.270,328,238,532,250,427,21.3,36.5,507,0,2024-12-01 12:09:37
15:08:16.185,323,226,468,230,433,21.5,35.7,735,0,2024-12-01 12:09:38
15:10:03.528,319,243,449,253,426,21.5,35.4,786,0,2024-12-01 12:09:39
15:05:48.688,311,242,454,130,424,21.6,35.8,723,0,2024-12-01 12:09:40
15:50:51.358,318,241,464,261,414,21.4,36.4,482,0,2024-12-01 12:09:41
15:05:53.971,311,244,452,238,435,21.5,35.7,691,0,2024-12-01 12:09:42
15:13:58.251,313,241,455,227,418,21.5,35.7,761,0,2024-12-01 12:09:43
15:26:45.936,315,230,472,289,426,21.4,36.1,595,0,2024-12-01 12:09:44
15:28:46.914,324,231,469,249,391,21.4,36.2,610,0,2024-12-01 12:09:45
15:17:10.691,314,222,468,230,423,21.4,35.7,821,0,2024-12-01 12:09:46
14:50:08.227,320,262,464,241,429,21.6,35.8,429,0,2024-12-01 12:09:47
15:42:26.429,318,234,473,269,431,21.4,36.3,541,0,2024-12-01 12:09:48
14:59:29.174,322,251,448,234,437,21.5,35.5,636,0,2024-12-01 12:09:49
15:09:11.182,318,228,456,234,418,21.5,35.7,812,0,2024-12-01 12:09:50
15:18:33.677,318,231,460,243,427,21.5,35.9,744,0,2024-12-01 12:09:51
15:44:50.612,319,240,480,242,418,21.4,36.4,548,0,2024-12-01 12:09:52
14:53:54.815,304,256,458,232,443,21.5,35.4,344,0,2024-12-01 12:09:53
15:02:51.044,310,244,448,225,432,21.5,35.6,691,0,2024-12-01 12:09:54
15:31:21.690,298,248,468,248,437,21.4,35.9,649,0,2024-12-01 12:09:55
15:37:29.054,336,224,481,243,425,21.3,36.5,573,0,2024-12-01 12:09:56
15:54:18.389,322,205,477,246,430,21.3,36.4,522,0,2024-12-01 12:09:57
15:22:54.092,321,227,451,290,428,21.4,36.0,644,0,2024-12-01 12:09:58
15:33:58.073,314,242,461,251,427,21.4,36.3,446,0,2024-12-01 12:09:59
15:43:50.943,322,236,469,249,431,21.2,36.6,471,0,2024-12-01 12:10:00
15:14:56.937,314,233,454,243,440,21.4,36.0,735,0,2024-12-01 12:10:01
15:21:31.184,330,231,459,290,424,21.5,36.7,607,0,2024-12-01 12:10:02
15:46:30.963,316,239,478,258,463,21.2,37.4,496,0,2024-12-01 12:10:03
15:31:48.096,335,242,452,245,420,21.4,37.3,533,0,2024-12-01 12:10:04
14:51:06.849,320,268,482,233,442,21.6,37.0,428,0,2024-12-01 12:10:05
15:28:18.386,334,244,458,248,428,21.4,38.2,549,0,2024-12-01 12:10:06
14:47:21.860,308,222,448,244,440,21.6,37.6,404,0,2024-12-01 12:10:07
15:11:17.528,329,244,488,215,424,21.5,38.4,569,0,2024-12-01 12:10:08
15:15:33.942,326,240,457,250,430,21.5,38.4,671,0,2024-12-01 12:10:09
14:58:27.351,320,242,432,264,427,21.5,39.0,635,0,2024-12-01 12:10:10
15:18:24.162,326,233,460,264,433,21.5,39.6,735,0,2024-12-01 12:10:11
15:00:16.716,322,242,442,230,441,21.4,39.5,646,0,2024-12-01 12:10:12
15:35:19.923,330,232,472,243,424,21.4,41.0,665,0,2024-12-01 12:10:13
15:37:15.323,321,238,477,251,430,21.4,41.1,506,0,2024-12-01 12:10:14
15:42:54.957,328,204,479,236,448,21.2,41.5,474,0,2024-12-01 12:10:15
15:43:16.615,328,247,487,251,438,21.3,41.8,544,0,2024-12-01 12:10:16
15:53:01.805,333,239,478,257,434,21.3,42.1,589,0,2024-12-01 12:10:17
15:46:57.367,325,246,475,291,444,21.4,42.3,589,0,2024-12-01 12:10:18
15:28:43.744,336,250,472,244,362,21.5,42.6,514,0,2024-12-01 12:10:19
15:49:14.724,324,239,476,244,434,21.3,43.1,548,0,2024-12-01 12:10:20
15:39:05.167,335,244,475,237,418,21.4,43.5,580,0,2024-12-01 12:10:21
15:25:40.972,318,241,481,256,427,21.4,43.5,658,0,2024-12-01 12:10:22
14:51:14.243,335,246,473,224,425,21.6,43.1,522,0,2024-12-01 12:10:23
15:45:45.003,325,244,485,268,431,21.3,44.4,460,0,2024-12-01 12:10:24
15:17:19.676,328,278,453,243,443,21.4,44.1,645,0,2024-12-01 12:10:25
15:42:42.282,322,239,480,231,423,21.3,45.0,411,0,2024-12-01 12:10:26
14:48:16.254,318,265,484,242,436,21.6,44.4,274,0,2024-12-01 12:10:27
15:10:18.331,330,245,475,243,447,21.6,44.9,741,0,2024-12-01 12:10:28
15:00:33.100,290,260,448,235,433,21.5,45.2,627,0,2024-12-01 12:10:29
15:19:15.429,315,235,460,251,428,21.5,46.0,797,0,2024-12-01 12:10:30
15:07:59.793,305,252,451,254,438,21.4,46.0,712,0,2024-12-01 12:10:31
15:51:53.676,342,255,468,276,445,21.2,47.3,525,0,2024-12-01 12:10:32
15:04:25.174,328,272,460,280,451,21.6,46.7,673,0,2024-12-01 12:10:33
15:48:57.296,330,245,491,262,433,21.3,47.8,556,0,2024-12-01 12:10:34
15:32:01.827,321,239,479,263,423,21.6,47.6,529,0,2024-12-01 12:10:35
15:02:37.297,318,250,456,237,445,21.5,47.7,643,0,2024-12-01 12:10:36
15:41:25.676,318,259,460,287,451,21.3,48.7,502,0,2024-12-01 12:10:37
15:29:50.846,327,248,475,243,437,21.5,48.9,635,0,2024-12-01 12:10:38
15:49:21.590,321,244,497,259,441,21.3,49.7,523,0,2024-12-01 12:10:39
15:38:05.494,337,246,506,254,433,21.2,50.0,524,0,2024-12-01 12:10:40
15:49:20.005,334,247,482,285,437,21.3,50.5,440,0,2024-12-01 12:10:41
14:51:40.124,321,272,501,251,438,21.6,49.6,418,0,2024-12-01 12:10:42
15:47:45.450,332,263,478,269,442,21.3,51.1,531,0,2024-12-01 12:10:43
15:31:56.546,320,255,469,255,445,21.4,50.9,569,0,2024-12-01 12:10:44
15:46:29.906,334,247,529,262,427,21.2,51.6,482,0,2024-12-01 12:10:45
15:24:48.156,330,237,482,252,451,21.4,51.5,737,0,2024-12-01 12:10:46
