MQ4,MQ3,MQ7,MQ135,MQ136,Temp,Hum,PM,Label
318,239,457,239,428,21.6,35.6,702,0
319,235,454,244,428,21.6,35.6,657,0
318,226,457,231,439,21.6,35.8,891,0
317,220,456,221,428,21.6,35.6,709,0
319,240,460,238,446,21.6,35.6,755,0
313,244,456,242,431,21.6,35.5,613,0
318,239,464,230,430,21.6,35.6,751,0
314,246,462,235,428,21.6,35.6,710,0
325,233,464,236,433,21.6,35.6,721,0
314,240,458,246,437,21.6,35.8,765,0
318,245,464,244,405,21.6,35.7,657,0
316,248,459,244,428,21.6,35.6,731,0
315,224,465,228,430,21.5,35.7,764,0
327,244,462,240,420,21.5,35.7,717,0
322,235,460,212,436,21.5,35.7,666,0
317,245,460,242,423,21.5,35.8,666,0
309,252,458,272,429,21.5,35.6,683,0
318,238,458,241,430,21.6,35.8,695,0
319,240,459,278,428,21.5,35.6,695,0
320,235,456,237,434,21.5,35.8,692,0
314,253,454,242,432,21.5,35.7,757,0
320,236,457,239,417,21.6,35.6,771,0
317,240,462,242,428,21.5,35.6,679,0
310,237,460,238,418,21.6,35.5,688,0
323,246,491,245,431,21.5,35.7,683,0
324,244,466,240,422,21.5,35.6,699,0
320,242,466,240,423,21.6,35.6,750,0
321,248,474,239,433,21.5,35.7,682,0
316,236,448,241,436,21.5,35.9,649,0
313,240,457,245,418,21.6,35.8,636,0
320,238,445,242,426,21.6,35.5,603,0
324,237,474,242,428,21.4,35.7,609,0
320,237,458,237,425,21.6,35.5,619,0
315,240,456,275,426,21.5,35.6,657,0
320,245,464,286,431,21.5,35.6,691,0
317,221,459,234,428,21.4,35.7,668,0
314,234,462,238,436,21.5,35.9,660,0
323,247,506,242,434,21.5,35.7,717,0
318,237,475,244,428,21.6,35.6,696,0
329,246,467,244,427,21.6,35.6,623,0
318,250,508,244,425,21.6,35.5,675,0
322,243,465,245,420,21.5,35.7,691,0
